楼层数,Binary DP_实际时间,Binary DP_理论时间,楼层数,2000,3000,4000,5000,10000,20000
2000,0.017419,0.018784,Binary DP_实际时间,0.017419,0.028038,0.039552,0.05024,0.11381,0.238765
3000,0.028038,0.02968,Binary DP_理论时间,0.018784,0.02968,0.040995,0.052622,0.11381,0.24475
4000,0.039552,0.040995,楼层数,30000,40000,50000,60000,70000,80000
5000,0.05024,0.052622,Binary DP_实际时间,0.376951,0.528109,0.682544,0.821138,0.973419,1.147433
10000,0.11381,0.11381,Binary DP_理论时间,0.382155,0.52376,0.668486,0.815701,0.964985,1.11604
20000,0.238765,0.24475,楼层数,90000,100000,120000,140000,160000,180000
30000,0.376951,0.382155,Binary DP_实际时间,1.303087,1.462832,1.818308,2.094048,2.432965,2.775919
40000,0.528109,0.52376,Binary DP_理论时间,1.268643,1.422623,1.734182,2.04988,2.36912,2.691457
50000,0.682544,0.668486,楼层数,200000,250000,300000,350000,400000,450000
60000,0.821138,0.815701,Binary DP_实际时间,3.094902,3.971748,4.86159,5.7047,6.548728,7.534628
70000,0.973419,0.964985,Binary DP_理论时间,3.016546,3.839616,4.675127,5.520982,6.375695,7.23815
80000,1.147433,1.11604,,,,,,,
90000,1.303087,1.268643,,,,,,,
100000,1.462832,1.422623,,,,,,,
120000,1.818308,1.734182,,,,,,,
140000,2.094048,2.04988,,,,,,,
160000,2.432965,2.36912,,,,,,,
180000,2.775919,2.691457,,,,,,,
200000,3.094902,3.016546,,,,,,,
250000,3.971748,3.839616,,,,,,,
300000,4.86159,4.675127,,,,,,,
350000,5.7047,5.520982,,,,,,,
400000,6.548728,6.375695,,,,,,,
450000,7.534628,7.23815,,,,,,,
500000,超时/失败,8.107485,,,,,,,
